CHARACTER DISTANCE,FOOD DISTANCE,SKILL LEVEL,STEERING ACTION
300,360.694,0,DANCING
298.727,360.694,0,DANCING
298.314,360.694,0,DANCING
297.407,360.694,0,DANCING
296.861,360.694,0,DANCING
296.132,360.694,0,DANCING
295.564,360.694,0,DANCING
294.936,360.694,0,DANCING
294.387,360.694,0,DANCING
293.826,360.694,0,DANCING
293.31,360.694,0,DANCING
292.801,360.694,0,DANCING
292.322,360.694,0,DANCING
291.857,360.694,0,DANCING
291.414,360.694,0,DANCING
290.987,360.694,0,DANCING
290.578,360.694,0,DANCING
290.186,360.694,0,DANCING
289.81,360.694,0,DANCING
288.224,360.694,0,DANCING
287.483,360.694,0,DANCING
286.282,360.694,0,DANCING
285.444,360.694,0,DANCING
284.445,360.694,0,DANCING
283.614,360.694,0,DANCING
282.739,360.694,0,DANCING
281.952,360.694,0,DANCING
281.166,360.694,0,DANCING
280.434,360.694,0,DANCING
279.719,360.694,2,WANDERING
279.044,360.694,2,DANCING
278.391,360.694,2,DANCING
277.769,360.694,2,DANCING
277.171,360.694,2,DANCING
276.6,360.694,2,DANCING
276.051,360.694,2,DANCING
275.526,360.694,2,DANCING
275.022,360.694,2,DANCING
274.54,360.694,2,DANCING
274.077,360.694,2,DANCING
273.634,360.694,2,DANCING
273.209,360.694,2,DANCING
272.801,360.694,2,DANCING
272.41,360.694,2,DANCING
272.036,360.694,2,DANCING
271.676,360.694,2,DANCING
271.331,360.694,2,DANCING
269.882,360.694,2,DANCING
269.205,360.694,2,DANCING
268.111,360.694,2,DANCING
267.349,360.694,2,DANCING
266.44,360.694,2,DANCING
265.686,360.694,2,DANCING
264.893,360.694,2,DANCING
264.18,360.694,2,DANCING
263.469,360.694,2,DANCING
262.808,360.694,2,DANCING
262.164,360.694,2,DANCING
261.555,360.694,2,DANCING
260.967,360.694,4,WANDERING
260.408,360.694,4,DANCING
259.871,360.694,4,DANCING
259.359,360.694,4,DANCING
258.867,360.694,4,DANCING
258.397,360.694,4,DANCING
257.946,360.694,4,DANCING
257.515,360.694,4,DANCING
257.102,360.694,4,DANCING
256.707,360.694,4,DANCING
256.328,360.694,4,DANCING
255.965,360.694,4,DANCING
255.617,360.694,4,DANCING
255.284,360.694,4,DANCING
254.965,360.694,4,DANCING
254.659,360.694,4,DANCING
253.374,360.694,4,DANCING
252.776,360.694,4,DANCING
251.811,360.694,4,DANCING
251.14,360.694,4,DANCING
250.342,360.694,4,DANCING
249.68,360.694,4,DANCING
248.986,360.694,4,DANCING
248.363,360.694,4,DANCING
247.744,360.694,4,DANCING
247.168,360.694,4,DANCING
